ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10581023,HZ329792,09/01/2014 08:00:00 AM,0000X E LAKE ST,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,OTHER,true,false,0111,001,42,32,12,,,2014,03/01/2018 03:52:35 PM,,,
10000119,HY190072,03/18/2015 11:55:00 PM,054XX N KENMORE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,OTHER,false,false,2023,020,48,77,03,1168270,1936260,2015,02/10/2018 03:50:01 PM,41.980634157,-87.656529996,"(41.980634157, -87.656529996)"
10000120,HY190073,03/18/2015 11:40:00 PM,078XX S CREGIER AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,false,false,0414,004,8,43,04B,1189564,1853354,2015,02/10/2018 03:50:01 PM,41.752648838,-87.580891872,"(41.752648838, -87.580891872)"
10000123,HY189969,03/18/2015 09:44:00 PM,0000X N CENTRAL AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,VEHICLE NON-COMMERCIAL,true,false,1513,015,29,25,15,1139051,1899715,2015,02/10/2018 03:50:01 PM,41.880934043,-87.764879438,"(41.880934043, -87.764879438)"
10000124,HY190060,03/18/2015 11:30:00 PM,024XX S BELL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1034,010,25,31,08B,1161687,1887883,2015,02/10/2018 03:50:01 PM,41.848024395,-87.682090877,"(41.848024395, -87.682090877)"
10000126,HY190035,03/18/2015 10:45:00 PM,003XX E 59TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0232,002,20,40,08B,1179208,1865959,2015,02/10/2018 03:50:01 PM,41.787480544,-87.618458018,"(41.787480544, -87.618458018)"
10000127,HY190027,03/18/2015 10:33:00 PM,091XX S RACINE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,2222,022,21,73,08A,1169928,1844242,2015,02/10/2018 03:50:01 PM,41.72809296,-87.653113317,"(41.72809296, -87.653113317)"
10000129,HY190096,03/19/2015 01:20:00 AM,078XX S EMERALD AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,0621,006,17,71,08B,1172661,1852870,2015,02/10/2018 03:50:01 PM,41.751709641,-87.642848244,"(41.751709641, -87.642848244)"
10000130,HY190003,03/18/2015 09:59:00 PM,086XX S CARPENTER ST,041A,BATTERY,AGGRAVATED: HANDGUN,RESIDENCE PORCH/HALLWAY,false,false,0613,006,21,71,04B,1170826,1847542,2015,02/10/2018 03:50:01 PM,41.737129104,-87.649727762,"(41.737129104, -87.649727762)"
10000131,HY190101,03/19/2015 01:28:00 AM,022XX E 103RD ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,PARKING LOT/GARAGE(NON.RESID.),true,false,0434,004,10,51,26,1192874,1837123,2015,02/10/2018 03:50:01 PM,41.708029389,-87.569290282,"(41.708029389, -87.569290282)"
10000133,HY190085,03/19/2015 12:05:00 AM,057XX S WESTERN AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,0824,008,16,63,03,1161348,1866644,2015,02/10/2018 03:50:01 PM,41.789749112,-87.683924139,"(41.789749112, -87.683924139)"
